epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1385.61,1.58383,2.30661,0.91754,1.09393,0.82362,0.73279,0.82731,0.46471,0.81006,0.72398,0.80657,0.39855,1.5728,2.36164,0.9123,1.109,0.00101,0.00101,0.00101
27,1437.39,1.59118,2.28844,0.9209,1.09185,0.81418,0.7514,0.8264,0.46807,0.81344,0.73048,0.80594,0.40529,1.59626,2.35952,0.90659,1.11682,0.0009704,0.0009704,0.0009704
28,1489.71,1.62015,2.29925,0.9374,1.09553,0.81973,0.73078,0.82071,0.46757,0.81098,0.72298,0.80338,0.41035,1.5785,2.34169,0.90303,1.11428,0.0009308,0.0009308,0.0009308
29,1540.98,1.59267,2.27527,0.92861,1.08722,0.83168,0.73599,0.8337,0.4747,0.81917,0.72258,0.80987,0.40795,1.55581,2.36528,0.90775,1.10557,0.0008912,0.0008912,0.0008912
30,1594.5,1.56403,2.25717,0.90742,1.09175,0.83849,0.76261,0.8454,0.48412,0.83071,0.74056,0.8225,0.4152,1.56078,2.3412,0.87344,1.10526,0.0008516,0.0008516,0.0008516
31,1648.08,1.57845,2.25149,0.89601,1.08667,0.81759,0.76081,0.84385,0.48078,0.8151,0.73676,0.81994,0.41256,1.55326,2.3108,0.88407,1.10023,0.000812,0.000812,0.000812
32,1699.07,1.55964,2.24995,0.90097,1.08854,0.82665,0.75882,0.83887,0.48031,0.82101,0.73264,0.81643,0.40782,1.54662,2.3123,0.8942,1.09696,0.0007724,0.0007724,0.0007724
33,1751.27,1.5663,2.24386,0.8991,1.08109,0.82644,0.75201,0.83495,0.47863,0.82149,0.7438,0.81854,0.40951,1.54313,2.33212,0.90175,1.09804,0.0007328,0.0007328,0.0007328
34,1803.15,1.55226,2.24437,0.87821,1.0772,0.82989,0.7532,0.83872,0.47823,0.82359,0.72898,0.81017,0.39953,1.55226,2.33167,0.88918,1.10319,0.0006932,0.0006932,0.0006932
35,1856.11,1.55273,2.23541,0.88133,1.07948,0.82861,0.75,0.83142,0.47695,0.82245,0.72969,0.80716,0.40612,1.54793,2.31315,0.88999,1.1046,0.0006536,0.0006536,0.0006536
36,1907.58,1.54812,2.23774,0.8926,1.07584,0.82321,0.73879,0.82091,0.46812,0.81161,0.72838,0.80266,0.40908,1.55508,2.33296,0.89498,1.10766,0.000614,0.000614,0.000614
37,1961.02,1.55792,2.23412,0.89052,1.08386,0.8359,0.74736,0.83767,0.48629,0.82665,0.73239,0.81175,0.41022,1.54251,2.31913,0.88596,1.09632,0.0005744,0.0005744,0.0005744
38,2014.27,1.52346,2.20381,0.87843,1.0759,0.83966,0.76281,0.85127,0.48657,0.82645,0.7508,0.82966,0.41266,1.55292,2.30259,0.86306,1.0989,0.0005348,0.0005348,0.0005348
39,2066.75,1.55309,2.21157,0.87595,1.06883,0.8292,0.76641,0.8477,0.48818,0.82188,0.745,0.82197,0.40582,1.54292,2.27941,0.86441,1.09013,0.0004952,0.0004952,0.0004952
40,2118.34,1.53219,2.1933,0.86364,1.08103,0.83654,0.7529,0.8444,0.486,0.82364,0.73943,0.82237,0.41062,1.54445,2.29241,0.87404,1.09516,0.0004556,0.0004556,0.0004556
41,2152.3,1.52691,2.20068,0.92609,1.09224,0.83766,0.7426,0.84379,0.47964,0.82089,0.72658,0.81873,0.39941,1.54781,2.31641,0.88145,1.09814,0.000416,0.000416,0.000416
42,2183.3,1.54218,2.23124,0.90948,1.09873,0.84181,0.75414,0.84398,0.48601,0.82826,0.73945,0.8202,0.41523,1.53768,2.29061,0.86895,1.10006,0.0003764,0.0003764,0.0003764
43,2214.34,1.52876,2.21598,0.9199,1.0966,0.83671,0.75921,0.85204,0.48778,0.8209,0.7472,0.82931,0.41135,1.55118,2.29292,0.86709,1.09438,0.0003368,0.0003368,0.0003368
44,2244.47,1.51807,2.2026,0.88228,1.08808,0.82339,0.7556,0.8484,0.48298,0.81213,0.73139,0.81927,0.39892,1.54513,2.28657,0.88362,1.09105,0.0002972,0.0002972,0.0002972
45,2275,1.50287,2.17034,0.86661,1.07653,0.84147,0.75861,0.85134,0.49017,0.83388,0.73699,0.82734,0.41951,1.54807,2.30917,0.85643,1.09352,0.0002576,0.0002576,0.0002576
46,2306.87,1.52494,2.17089,0.86371,1.07676,0.84561,0.76321,0.85187,0.49154,0.83445,0.74299,0.82668,0.41262,1.5461,2.29333,0.8562,1.09336,0.000218,0.000218,0.000218
47,2337.37,1.51882,2.16422,0.99166,1.08584,0.84417,0.76421,0.8536,0.49411,0.83386,0.7404,0.82783,0.41865,1.52118,2.2769,0.85654,1.08715,0.0001784,0.0001784,0.0001784
48,2367.73,1.52085,2.16423,0.86852,1.08951,0.84729,0.7546,0.84907,0.49166,0.83241,0.73659,0.82384,0.40975,1.53101,2.28697,0.86093,1.08743,0.0001388,0.0001388,0.0001388
49,2397.67,1.50636,2.1576,0.85403,1.07505,0.84971,0.75681,0.8523,0.49576,0.83576,0.74353,0.82978,0.41881,1.5174,2.27504,0.85179,1.08433,9.92e-05,9.92e-05,9.92e-05
50,2430.93,1.4961,2.14494,0.85108,1.08241,0.85036,0.76435,0.8553,0.49635,0.83886,0.74396,0.83204,0.41816,1.51856,2.27451,0.84544,1.08614,5.96e-05,5.96e-05,5.96e-05
