epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4977,2.05231,3.01918,2.07967,1.29603,0.57344,0.61753,0.58755,0.26732,0.57536,0.59964,0.5698,0.22324,1.92691,2.82067,1.43354,1.23577,0.000660969,0.000660969,0.000660969
2,125.532,1.84851,2.66576,1.28684,1.18001,0.72781,0.60909,0.6891,0.36181,0.72789,0.59388,0.66488,0.30929,1.77982,2.74737,1.29666,1.19024,0.00130135,0.00130135,0.00130135
3,177.295,1.76182,2.60476,1.18489,1.16481,0.73882,0.64775,0.72122,0.38791,0.7409,0.63331,0.70426,0.32693,1.70061,2.75188,1.13537,1.15358,0.00191533,0.00191533,0.00191533
4,231.046,1.75614,2.60627,1.18632,1.15831,0.75098,0.68895,0.76416,0.40451,0.73948,0.67434,0.73745,0.33768,1.71719,2.67802,1.10293,1.16943,0.0018812,0.0018812,0.0018812
5,283.966,1.74591,2.55337,1.15271,1.14551,0.76767,0.71017,0.7831,0.42524,0.75494,0.68259,0.74954,0.34727,1.65758,2.59035,1.05685,1.14885,0.0018416,0.0018416,0.0018416
6,335.651,1.67981,2.46406,1.08985,1.13222,0.78346,0.70416,0.78774,0.42819,0.77014,0.68235,0.75668,0.36172,1.65055,2.60363,1.03623,1.14681,0.001802,0.001802,0.001802
7,387.923,1.69626,2.48163,1.07672,1.13103,0.79774,0.70737,0.79666,0.43108,0.77449,0.68675,0.76835,0.35592,1.64175,2.49813,1.04741,1.1351,0.0017624,0.0017624,0.0017624
8,441.337,1.69832,2.47497,1.06962,1.12952,0.78998,0.71437,0.80051,0.43509,0.79729,0.68415,0.77276,0.35976,1.64608,2.49825,1.01969,1.13948,0.0017228,0.0017228,0.0017228
9,495.391,1.70101,2.458,1.0613,1.15066,0.77345,0.70076,0.78167,0.40294,0.75374,0.67494,0.74361,0.31664,1.70281,2.52903,1.0274,1.14649,0.0016832,0.0016832,0.0016832
10,548.289,1.68141,2.45574,1.06493,1.11472,0.79718,0.71279,0.79561,0.42386,0.78056,0.68695,0.76264,0.34298,1.67213,2.5185,1.00009,1.14281,0.0016436,0.0016436,0.0016436
11,600.31,1.65841,2.42328,1.02569,1.1178,0.81607,0.7229,0.80991,0.44974,0.80346,0.71026,0.78742,0.38659,1.60929,2.44077,0.96761,1.13206,0.001604,0.001604,0.001604
12,652.635,1.6441,2.4047,1.01811,1.11784,0.80006,0.70002,0.79491,0.43382,0.79001,0.67554,0.76212,0.35012,1.64234,2.46454,1.01551,1.13915,0.0015644,0.0015644,0.0015644
13,704.16,1.64592,2.38648,1.02678,1.1268,0.8084,0.72678,0.80699,0.45036,0.80364,0.70877,0.78497,0.38186,1.62605,2.42186,0.97379,1.12752,0.0015248,0.0015248,0.0015248
14,756.188,1.64495,2.39497,0.99183,1.1233,0.812,0.74781,0.82256,0.46094,0.80422,0.73343,0.80434,0.39824,1.60811,2.40637,0.94737,1.12296,0.0014852,0.0014852,0.0014852
15,809.245,1.64901,2.38158,0.98811,1.11119,0.81424,0.73559,0.82104,0.4597,0.80695,0.72705,0.80796,0.40005,1.58646,2.39936,0.94932,1.11977,0.0014456,0.0014456,0.0014456
16,861.624,1.64412,2.34562,0.98179,1.11004,0.78868,0.72378,0.80007,0.44891,0.78769,0.69658,0.77662,0.37015,1.60127,2.43763,0.97768,1.12417,0.001406,0.001406,0.001406
17,914.653,1.62986,2.36812,0.98238,1.11362,0.81968,0.71938,0.81228,0.45485,0.80838,0.70172,0.78687,0.37332,1.60792,2.38833,0.9606,1.12291,0.0013664,0.0013664,0.0013664
18,966.022,1.62417,2.38597,1.00326,1.11592,0.8061,0.7484,0.83057,0.4653,0.79954,0.72698,0.80789,0.38781,1.58776,2.35905,0.93433,1.1199,0.0013268,0.0013268,0.0013268
19,1018.89,1.62959,2.34842,0.947,1.10255,0.79902,0.72698,0.80811,0.45332,0.79396,0.69495,0.77732,0.38212,1.59422,2.44064,0.93988,1.11686,0.0012872,0.0012872,0.0012872
20,1072.52,1.62572,2.35285,0.96337,1.0996,0.82094,0.74239,0.82837,0.45782,0.81094,0.71603,0.8011,0.37965,1.61371,2.42622,0.92319,1.12124,0.0012476,0.0012476,0.0012476
21,1124.8,1.59942,2.31292,0.93952,1.09901,0.82646,0.73539,0.8256,0.46256,0.81752,0.70737,0.79244,0.37815,1.59101,2.38902,0.91397,1.11926,0.001208,0.001208,0.001208
22,1175.42,1.63229,2.34607,0.94611,1.09961,0.82418,0.73599,0.82831,0.47109,0.80923,0.71297,0.79647,0.38925,1.56051,2.34147,0.90967,1.11131,0.0011684,0.0011684,0.0011684
23,1228.82,1.59669,2.30257,0.93842,1.09974,0.82222,0.73939,0.826,0.47445,0.81085,0.72074,0.80056,0.40104,1.5679,2.36332,0.9084,1.11697,0.0011288,0.0011288,0.0011288
24,1281.91,1.60537,2.30931,0.92585,1.09095,0.82508,0.7556,0.8397,0.48023,0.81947,0.72685,0.8121,0.40489,1.5464,2.35689,0.89531,1.10168,0.0010892,0.0010892,0.0010892
25,1334.77,1.58092,2.29489,0.93031,1.09399,0.80921,0.7534,0.83112,0.47058,0.80951,0.72729,0.80579,0.39954,1.57922,2.39118,0.90075,1.11645,0.0010496,0.0010496,0.0010496
