epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1621.17,1.58252,2.26966,0.90758,1.09734,0.82241,0.7536,0.83617,0.48056,0.81591,0.73499,0.81599,0.41435,1.55468,2.35081,0.90518,1.10672,0.0014258,0.0014258,0.0014258
31,1673.96,1.58542,2.2668,0.90065,1.09298,0.81623,0.74947,0.83598,0.47491,0.82023,0.71938,0.81204,0.39625,1.57544,2.35719,0.89675,1.11077,0.001406,0.001406,0.001406
32,1725.86,1.56743,2.27179,0.9112,1.09295,0.8301,0.73737,0.82851,0.46578,0.81787,0.71037,0.79766,0.39329,1.56844,2.34279,0.91523,1.11099,0.0013862,0.0013862,0.0013862
33,1778.82,1.58348,2.25919,0.90411,1.08932,0.81839,0.75044,0.82733,0.47613,0.81599,0.74159,0.8159,0.41422,1.54318,2.32524,0.9099,1.10811,0.0013664,0.0013664,0.0013664
34,1831.53,1.57227,2.26737,0.90853,1.08565,0.82308,0.74059,0.82962,0.4722,0.81376,0.72458,0.80549,0.40007,1.56383,2.36907,0.90542,1.1082,0.0013466,0.0013466,0.0013466
35,1883.78,1.5758,2.2693,0.89949,1.08871,0.82425,0.7494,0.83692,0.47552,0.81989,0.71618,0.80573,0.39367,1.55413,2.33986,0.90205,1.10375,0.0013268,0.0013268,0.0013268
36,1937,1.55795,2.25918,0.91246,1.08171,0.8151,0.73979,0.82065,0.46923,0.80877,0.7255,0.80185,0.39846,1.56156,2.34891,0.91059,1.11234,0.001307,0.001307,0.001307
37,1990.17,1.5864,2.26093,0.90121,1.09241,0.83335,0.72958,0.824,0.46722,0.82,0.70393,0.79628,0.38801,1.59065,2.35054,0.92373,1.1218,0.0012872,0.0012872,0.0012872
38,2043.26,1.55032,2.2394,0.88991,1.08633,0.83421,0.74932,0.8398,0.48217,0.82952,0.72758,0.8169,0.40832,1.54958,2.30633,0.87898,1.10126,0.0012674,0.0012674,0.0012674
39,2094.86,1.58764,2.26014,0.90566,1.08422,0.82363,0.73939,0.83207,0.47074,0.8308,0.72337,0.81689,0.41836,1.56876,2.31439,0.90035,1.11152,0.0012476,0.0012476,0.0012476
40,2146.96,1.57431,2.2295,0.90153,1.09281,0.81771,0.73759,0.81773,0.46861,0.80486,0.72485,0.79804,0.40836,1.55571,2.35814,0.92726,1.10406,0.0012278,0.0012278,0.0012278
41,2199.72,1.57407,2.2604,0.91082,1.09015,0.84189,0.73857,0.8359,0.48333,0.83662,0.71032,0.81025,0.41005,1.55319,2.32134,0.90149,1.10791,0.001208,0.001208,0.001208
42,2252.14,1.57737,2.27108,0.89031,1.08185,0.83778,0.74339,0.83811,0.46723,0.82053,0.72204,0.80813,0.39217,1.58597,2.37145,0.88072,1.11701,0.0011882,0.0011882,0.0011882
43,2302.94,1.58071,2.25589,0.88997,1.0844,0.84309,0.748,0.84419,0.47523,0.82267,0.71918,0.80665,0.38265,1.58424,2.30702,0.89955,1.1071,0.0011684,0.0011684,0.0011684
44,2354.98,1.55047,2.23826,0.88053,1.08381,0.83055,0.75639,0.84162,0.48333,0.81914,0.72998,0.81272,0.40203,1.54314,2.30979,0.88914,1.09791,0.0011486,0.0011486,0.0011486
45,2407.48,1.56154,2.23725,0.96329,1.0921,0.82547,0.74359,0.82633,0.47592,0.82101,0.72338,0.80742,0.40869,1.55985,2.32618,0.88827,1.11142,0.0011288,0.0011288,0.0011288
46,2457.95,1.52199,2.19947,0.86733,1.08013,0.82043,0.7526,0.83331,0.47635,0.81612,0.72898,0.80695,0.40594,1.55663,2.34316,0.89127,1.10883,0.001109,0.001109,0.001109
47,2510.45,1.53561,2.20549,0.86683,1.07925,0.82221,0.754,0.83081,0.46909,0.81814,0.72138,0.80409,0.38865,1.58889,2.34301,0.89176,1.11864,0.0010892,0.0010892,0.0010892
48,2564.55,1.54311,2.22972,0.86517,1.08165,0.83346,0.7514,0.83488,0.47678,0.82039,0.72777,0.80652,0.40549,1.5677,2.331,0.89694,1.10957,0.0010694,0.0010694,0.0010694
49,2617.54,1.57919,2.25723,0.88192,1.0844,0.83515,0.7486,0.83991,0.48096,0.82438,0.72938,0.81078,0.39794,1.54373,2.30741,0.8807,1.10186,0.0010496,0.0010496,0.0010496
50,2669.24,1.54262,2.21264,0.88697,1.07217,0.82612,0.75696,0.83531,0.47258,0.82708,0.73979,0.81645,0.40348,1.56964,2.32813,0.88345,1.1047,0.0010298,0.0010298,0.0010298
51,2722.08,1.54762,2.20913,0.85481,1.06452,0.83542,0.75895,0.84478,0.48415,0.8242,0.73279,0.81648,0.40186,1.55637,2.30562,0.86106,1.10807,0.00101,0.00101,0.00101
52,2774.66,1.54074,2.21511,0.93499,1.08284,0.84115,0.75681,0.84345,0.48805,0.83963,0.73239,0.81702,0.40665,1.5475,2.29999,0.87436,1.09894,0.0009902,0.0009902,0.0009902
53,2827.99,1.54552,2.20661,0.86629,1.07797,0.84123,0.753,0.84467,0.48652,0.83149,0.73599,0.8187,0.41013,1.53966,2.29087,0.86615,1.09987,0.0009704,0.0009704,0.0009704
54,2878.87,1.53616,2.17687,0.8479,1.07428,0.82284,0.76161,0.84308,0.47796,0.81707,0.72658,0.81202,0.39572,1.56312,2.31873,0.8848,1.10633,0.0009506,0.0009506,0.0009506
55,2930.83,1.52922,2.17953,0.85556,1.072,0.83067,0.76461,0.84891,0.48528,0.80512,0.73779,0.81231,0.3968,1.561,2.29093,0.86682,1.09757,0.0009308,0.0009308,0.0009308
56,2982.97,1.52597,2.17704,0.84903,1.07841,0.83948,0.75881,0.85035,0.48126,0.82654,0.73118,0.81436,0.38791,1.55716,2.30856,0.87087,1.1004,0.000911,0.000911,0.000911
57,3034.07,1.53075,2.1736,0.8565,1.07362,0.83993,0.751,0.84196,0.48836,0.83648,0.7362,0.82045,0.41269,1.5255,2.30299,0.86123,1.09878,0.0008912,0.0008912,0.0008912
58,3088.4,1.53386,2.19122,0.8395,1.06859,0.84013,0.76221,0.84557,0.48607,0.82988,0.73132,0.81391,0.398,1.55991,2.3168,0.86008,1.10229,0.0008714,0.0008714,0.0008714
59,3140.23,1.53028,2.1875,0.85184,1.07721,0.84588,0.75141,0.84891,0.49392,0.83684,0.73078,0.82232,0.41242,1.52072,2.28479,0.86414,1.09149,0.0008516,0.0008516,0.0008516
60,3193.66,1.51092,2.13405,0.82788,1.05957,0.84178,0.76462,0.8526,0.49121,0.82638,0.73819,0.82051,0.40854,1.54244,2.30373,0.8517,1.09389,0.0008318,0.0008318,0.0008318
61,3245.59,1.52703,2.17174,0.83494,1.06174,0.84489,0.7516,0.84745,0.48666,0.83604,0.73038,0.81886,0.40845,1.53453,2.29906,0.87147,1.09623,0.000812,0.000812,0.000812
62,3298.5,1.5228,2.16538,0.83501,1.06527,0.84664,0.76021,0.85215,0.49252,0.83453,0.73995,0.82484,0.41536,1.53426,2.33403,0.85471,1.09468,0.0007922,0.0007922,0.0007922
63,3351.59,1.51278,2.16709,0.8384,1.07039,0.85286,0.75293,0.85217,0.4958,0.84875,0.74019,0.83365,0.42644,1.51368,2.28332,0.8468,1.0944,0.0007724,0.0007724,0.0007724
64,3405.05,1.50871,2.15497,0.82759,1.06207,0.84397,0.76221,0.85383,0.49716,0.83813,0.74722,0.83423,0.42175,1.52076,2.27398,0.84969,1.09056,0.0007526,0.0007526,0.0007526
65,3457.06,1.51282,2.16208,0.8409,1.06592,0.84056,0.76101,0.84669,0.49142,0.8435,0.73779,0.82598,0.41302,1.52995,2.26742,0.86334,1.09236,0.0007328,0.0007328,0.0007328
66,3508.6,1.54316,2.18303,0.84929,1.07412,0.84997,0.76121,0.85238,0.49143,0.84038,0.73819,0.82549,0.41388,1.52909,2.28135,0.84755,1.0961,0.000713,0.000713,0.000713
67,3561.69,1.51075,2.16248,0.83245,1.06218,0.84741,0.76041,0.85032,0.49373,0.83139,0.74039,0.82049,0.41205,1.52387,2.29146,0.84783,1.09219,0.0006932,0.0006932,0.0006932
68,3615.56,1.50512,2.16005,0.82344,1.05484,0.85178,0.75344,0.85074,0.49523,0.8369,0.72878,0.81993,0.41183,1.52306,2.27937,0.84939,1.09043,0.0006734,0.0006734,0.0006734
69,3667.55,1.49441,2.12038,0.81604,1.05165,0.85412,0.77348,0.8608,0.49269,0.84786,0.73959,0.82744,0.41072,1.55009,2.29215,0.83069,1.10017,0.0006536,0.0006536,0.0006536
70,3719.07,1.51948,2.14126,0.83467,1.06393,0.84358,0.7729,0.85627,0.48726,0.82472,0.75343,0.82967,0.41345,1.55033,2.28499,0.84042,1.10132,0.0006338,0.0006338,0.0006338
71,3771.05,1.52038,2.15368,0.83392,1.06229,0.85109,0.76882,0.85701,0.49638,0.83808,0.7542,0.83513,0.41656,1.53549,2.26653,0.83874,1.09539,0.000614,0.000614,0.000614
72,3824.04,1.49205,2.12753,0.82905,1.06187,0.83689,0.77948,0.86059,0.49545,0.83301,0.7486,0.83191,0.41608,1.52059,2.26587,0.83868,1.0899,0.0005942,0.0005942,0.0005942
73,3875.32,1.48221,2.10683,0.8082,1.05215,0.84571,0.77742,0.86272,0.50021,0.83393,0.7518,0.83448,0.41855,1.51441,2.25295,0.83374,1.08845,0.0005744,0.0005744,0.0005744
74,3927.39,1.50591,2.14337,0.81371,1.05903,0.8442,0.76361,0.85524,0.49808,0.83584,0.74019,0.83177,0.42483,1.52349,2.25765,0.84224,1.08849,0.0005546,0.0005546,0.0005546
75,3980.85,1.48218,2.10071,0.79437,1.05422,0.84941,0.77224,0.85732,0.49949,0.84005,0.7552,0.83621,0.42293,1.51045,2.26835,0.83428,1.09119,0.0005348,0.0005348,0.0005348
76,4034.33,1.48636,2.11452,0.80938,1.05006,0.84476,0.76896,0.85579,0.49893,0.84187,0.7502,0.83887,0.43131,1.52392,2.2743,0.83053,1.09326,0.000515,0.000515,0.000515
77,4087.7,1.51702,2.14056,0.80557,1.05745,0.85123,0.78002,0.86213,0.50299,0.84427,0.75881,0.84097,0.42866,1.51886,2.26541,0.81578,1.09001,0.0004952,0.0004952,0.0004952
78,4140.76,1.47526,2.10774,0.81078,1.0566,0.84754,0.76441,0.84953,0.49577,0.83808,0.747,0.8263,0.41407,1.52828,2.27899,0.83858,1.09304,0.0004754,0.0004754,0.0004754
79,4193.69,1.49505,2.14099,0.80611,1.05789,0.84197,0.77959,0.8582,0.50053,0.83389,0.75762,0.83282,0.41889,1.5101,2.26041,0.83008,1.08764,0.0004556,0.0004556,0.0004556
80,4245.67,1.48991,2.11908,0.80268,1.0548,0.85192,0.76761,0.85838,0.50291,0.83736,0.7461,0.83013,0.42338,1.50154,2.25543,0.81756,1.08521,0.0004358,0.0004358,0.0004358
81,4296.62,1.48574,2.11297,0.8019,1.05194,0.83976,0.77802,0.85926,0.50251,0.83466,0.75077,0.8325,0.42177,1.51288,2.26249,0.82604,1.08453,0.000416,0.000416,0.000416
82,4349.96,1.49071,2.10745,0.79949,1.05048,0.84243,0.78783,0.86318,0.50258,0.83784,0.76081,0.83895,0.41946,1.51874,2.26497,0.82534,1.08521,0.0003962,0.0003962,0.0003962
83,4402.96,1.46946,2.09591,0.79604,1.05469,0.84994,0.77888,0.86007,0.50219,0.83967,0.76261,0.84023,0.42523,1.52322,2.2505,0.83032,1.08594,0.0003764,0.0003764,0.0003764
84,4456.46,1.48524,2.10068,0.79665,1.04941,0.84213,0.78102,0.85818,0.50039,0.82483,0.7562,0.8301,0.41654,1.51159,2.24747,0.82393,1.0873,0.0003566,0.0003566,0.0003566
85,4509,1.47572,2.09362,0.78728,1.05107,0.84772,0.77439,0.85989,0.50302,0.84038,0.75,0.83516,0.42412,1.51225,2.25764,0.82983,1.0845,0.0003368,0.0003368,0.0003368
86,4562.66,1.47635,2.09901,0.79711,1.04882,0.85435,0.76962,0.85866,0.50301,0.84561,0.7488,0.83494,0.42076,1.51057,2.25245,0.82124,1.0862,0.000317,0.000317,0.000317
